mean_current,std_current,max,min,peak_to_peak,kurtosis,label
1995.775,240.8970790649405,2643.6,1414.7,1228.8999999999999,-0.48284718314268016,normal
2012.7220000000002,281.54438714943956,2658.5,1394.0,1264.5,-0.39376378012908253,normal
1966.786,245.67791143213623,2574.6,1393.7,1180.8999999999999,-0.4814863973282981,normal
2035.335,264.1687899255077,2628.3,1422.4,1205.9,-0.44849916457414407,normal
2036.646,242.94590511494772,2640.7,1505.5,1135.1999999999998,-0.5823564957920047,normal
1955.6180000000002,256.021970087875,2643.4,1396.7,1246.7,-0.3202844469963382,normal
2033.3489999999997,251.1657967831953,2630.9,1388.0,1242.9,-0.3989839219390454,normal
1966.05,268.7178684573894,2611.5,1394.8,1216.7,-0.6000423757941742,normal
1989.435,247.3905489547271,2631.3,1562.0,1069.3000000000002,-0.5829720998862018,normal
1978.7790000000002,271.7476206934023,2645.2,1404.3,1240.8999999999999,-0.4665146938556015,normal
1999.602,244.22908188912325,2628.8,1398.7,1230.1000000000001,-0.35669627494421796,normal
1993.908,280.5438573466713,2632.4,1406.2,1226.2,-0.5481920112069831,normal
1972.4080000000004,244.4005528602254,2603.9,1398.6,1205.3000000000002,-0.41387533439264423,normal
2017.5770000000002,273.7379484381943,2590.2,1400.1,1190.1,-0.5601410208009403,normal
1941.559,247.43572661818806,2617.0,1413.0,1204.0,-0.3953344674106174,normal
2010.09,247.978547255584,2586.2,1405.5,1180.6999999999998,-0.3852172749387299,normal
1990.067,271.013631568524,2617.8,1392.0,1225.8000000000002,-0.5528777997738592,normal
1992.6019999999999,243.89503827041926,2652.0,1402.8,1249.2,-0.36991276182588617,normal
2011.6779999999999,270.5012315661204,2593.5,1392.7,1200.8,-0.43174743361172485,normal
1958.4409999999998,232.7324909470619,2392.0,1396.3,995.7,-0.5202547584044814,normal
2030.93,275.15917578776475,2610.6,1417.0,1193.6,-0.7027825152913896,normal
1942.892,246.27801678492366,2557.7,1404.6,1153.1,-0.5648178982116545,normal
2023.156,245.57983635519105,2634.1,1407.6,1226.5,-0.32293633080190265,normal
1969.2279999999998,269.80309658203066,2630.0,1413.9,1216.1,-0.5894584005417989,normal
2007.601,246.46688449060457,2587.6,1470.9,1116.6999999999998,-0.47751148859861825,normal
1987.0059999999999,274.1907696211792,2591.1,1410.1,1181.0,-0.45534998034712526,normal
1988.3390000000002,269.59193701600276,2575.2,1397.0,1178.1999999999998,-0.4586099744614023,normal
1988.4300000000003,242.01993427372582,2616.9,1405.8,1211.1000000000001,-0.2903045117009859,normal
2006.4129999999998,274.1955582658612,2614.4,1414.4,1200.0,-0.6021975831611703,normal
